transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
dino_vits8;XGBClassifier;120;0;54;1;0.9074074074074074;[1.         0.71428571 0.90909091 0.83333333];[1.         0.71428571 0.86956522 1.        ];[1.         0.71428571 0.88888889 0.90909091]
dino_vits8;XGBClassifier;120;0;54;2;0.8518518518518519;[1.         0.55555556 0.90909091 0.71428571];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.625      0.88888889 0.83333333]
dino_vits8;XGBClassifier;120;0;54;3;0.8518518518518519;[1.         0.55555556 0.90909091 0.71428571];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.625      0.88888889 0.83333333]
dino_vits8;XGBClassifier;120;0;54;4;0.8703703703703703;[1.         0.5        0.91304348 1.        ];[0.84210526 0.71428571 0.91304348 1.        ];[0.91428571 0.58823529 0.91304348 1.        ]
dino_vits8;XGBClassifier;120;0;54;5;0.8888888888888888;[0.94444444 0.57142857 0.91666667 1.        ];[0.89473684 0.57142857 0.95652174 1.        ];[0.91891892 0.57142857 0.93617021 1.        ]
dino_vits8;XGBClassifier;120;0;54;6;0.8888888888888888;[1.         0.71428571 0.91304348 0.71428571];[0.89473684 0.71428571 0.91304348 1.        ];[0.94444444 0.71428571 0.91304348 0.83333333]
dino_vits8;XGBClassifier;120;0;54;7;0.8703703703703703;[1.         0.55555556 0.91304348 0.83333333];[0.84210526 0.71428571 0.91304348 1.        ];[0.91428571 0.625      0.91304348 0.90909091]
dino_vits8;XGBClassifier;120;0;54;8;0.8518518518518519;[1.         0.5        0.90909091 0.83333333];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.58823529 0.88888889 0.90909091]
dino_vits8;XGBClassifier;120;0;54;9;0.9074074074074074;[1.         0.71428571 0.91304348 0.83333333];[0.94736842 0.71428571 0.91304348 1.        ];[0.97297297 0.71428571 0.91304348 0.90909091]
dino_vits8;XGBClassifier;176;0;54;0;0.9259259259259259;[1.         0.71428571 0.92       1.        ];[0.89473684 0.71428571 1.         1.        ];[0.94444444 0.71428571 0.95833333 1.        ]
dino_vits8;XGBClassifier;176;0;54;1;0.9074074074074074;[1.         0.625      0.91666667 1.        ];[0.89473684 0.71428571 0.95652174 1.        ];[0.94444444 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;2;0.9074074074074074;[1.         0.625      0.91666667 1.        ];[0.89473684 0.71428571 0.95652174 1.        ];[0.94444444 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;3;0.9259259259259259;[1.         0.71428571 0.91666667 1.        ];[0.94736842 0.71428571 0.95652174 1.        ];[0.97297297 0.71428571 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;4;0.9259259259259259;[1.         0.71428571 0.91666667 1.        ];[0.94736842 0.71428571 0.95652174 1.        ];[0.97297297 0.71428571 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;5;0.9259259259259259;[0.95       0.8        0.91666667 1.        ];[1.         0.57142857 0.95652174 1.        ];[0.97435897 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;6;0.9074074074074074;[1.         0.83333333 0.875      0.8       ];[1.         0.71428571 0.91304348 0.8       ];[1.         0.76923077 0.89361702 0.8       ]
dino_vits8;XGBClassifier;176;0;54;7;0.8888888888888888;[1.         0.55555556 0.91304348 1.        ];[0.89473684 0.71428571 0.91304348 1.        ];[0.94444444 0.625      0.91304348 1.        ]
dino_vits8;XGBClassifier;176;0;54;8;0.9444444444444444;[1.         0.83333333 0.92       1.        ];[0.94736842 0.71428571 1.         1.        ];[0.97297297 0.76923077 0.95833333 1.        ]
dino_vits8;XGBClassifier;176;0;54;9;0.9259259259259259;[1.         0.71428571 0.91304348 1.        ];[1.         0.71428571 0.91304348 1.        ];[1.         0.71428571 0.91304348 1.        ]
